id,GOSI_classification,OutPut Classification,Quarter,Region,Value
423,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2023-Q4,KSA,156994
424,Construction,Construction,2023-Q4,KSA,2617187
425,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2023-Q4,KSA,1616873
426,Transportation and storage,"Transport, Storage & Communication",2023-Q4,KSA,503243
427,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2023-Q4,KSA,673976
428,Information and communication,"Transport, Storage & Communication",2023-Q4,KSA,104389
429,Financial and insurance activities,"Finance , Insurance and Business sevices",2023-Q4,KSA,95184
430,Real estate activities,Real Estate,2023-Q4,KSA,52808
431,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2023-Q4,KSA,242103
815,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2023-Q1,Riyadh,385244
816,Mining and quarrying,Mining & Quarrying,2023-Q1,Riyadh,9763
817,Manufacturing,Manufacturing,2023-Q1,Riyadh,423599
818,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2023-Q1,Riyadh,13719
819,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2023-Q1,Riyadh,79132
820,Construction,Construction,2023-Q1,Riyadh,1021158
821,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2023-Q1,Riyadh,605853
822,Transportation and storage,"Transport, Storage & Communication",2023-Q1,Riyadh,195270
823,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2023-Q1,Riyadh,226822
824,Information and communication,"Transport, Storage & Communication",2023-Q1,Riyadh,103579
825,Financial and insurance activities,"Finance , Insurance and Business sevices",2023-Q1,Riyadh,72184
826,Real estate activities,Real Estate,2023-Q1,Riyadh,26867
827,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2023-Q1,Riyadh,134535
837,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2023-Q2,Riyadh,401199
838,Mining and quarrying,Mining & Quarrying,2023-Q2,Riyadh,13578
839,Manufacturing,Manufacturing,2023-Q2,Riyadh,437116
840,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2023-Q2,Riyadh,13381
841,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2023-Q2,Riyadh,81025
842,Construction,Construction,2023-Q2,Riyadh,1029437
843,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2023-Q2,Riyadh,593527
844,Transportation and storage,"Transport, Storage & Communication",2023-Q2,Riyadh,201534
845,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2023-Q2,Riyadh,224402
846,Information and communication,"Transport, Storage & Communication",2023-Q2,Riyadh,98880
847,Financial and insurance activities,"Finance , Insurance and Business sevices",2023-Q2,Riyadh,72722
848,Real estate activities,Real Estate,2023-Q2,Riyadh,26849
849,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2023-Q2,Riyadh,137530
859,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2023-Q3,Riyadh,56994
860,Mining and quarrying,Mining & Quarrying,2023-Q3,Riyadh,16119
861,Manufacturing,Manufacturing,2023-Q3,Riyadh,475340
862,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2023-Q3,Riyadh,13489
863,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2023-Q3,Riyadh,96896
864,Construction,Construction,2023-Q3,Riyadh,1069075
